nbeval fitness
50000 28848
50000 29329
50000 29117
50000 28746
50000 29397
50000 29053
50000 28954
50000 29066
50000 29099
50000 28892
50000 28928
50000 29312
50000 28806
50000 29054
50000 28915
50000 29093
50000 29554
50000 29036
50000 29200
50000 28763
50000 29026
50000 29090
50000 28796
50000 29067
50000 28939
50000 28847
50000 29040
50000 29078
50000 28830
50000 28938
50000 28825
50000 28894
50000 29070
50000 28849
50000 29384
50000 29111
50000 29032
50000 29086
50000 29055
50000 28707
50000 28766
50000 28974
50000 29108
50000 29247
50000 29264
50000 29281
50000 29325
50000 29526
50000 29272
50000 29417
50000 29481
50000 28884
50000 29008
50000 28700
50000 28970
50000 29478
50000 29135
50000 29077
50000 28968
50000 29533
50000 29309
50000 29222
50000 29209
50000 29016
50000 29071
50000 29119
50000 29165
50000 29289
50000 29030
50000 29162
50000 29263
50000 29184
50000 28742
50000 29179
50000 29580
50000 29113
100000 29182
100000 29321
100000 29097
100000 29318
